# Capture Picture retest on the transport fix (18:32): three rounds of leave, re-enter, capture; Back pressed mid-run in round three. Then (18:54) the same on the fix for that: Back mid-run, re-enter, camera switch. App feat/capture-keep-awake (uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 18:27:23. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to app writes and hook logs (minus hex dumps, heartbeats and the empty self-test lines), the device's Sleep/Wake/Captured/Finished/slot replies, and, on the nRF and Himax, the command arrivals, the packet numbers around each restart, the sleep entries, the state changes of the image task and the resets.
[05:04.357] app   | Extracting services and characteristics.
[05:24.309] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:24.309] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:24.309] himax | MKL62BA command received: 'getop -1'
[05:24.392] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 18 0 0 5 47 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 12 0 2 50 65 15 0 0 286 326 1 110 1 
[05:24.492] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[05:24.518] app   | Written AI getop -1 to the device WILD-CNKW (18:32:48-799)
[05:24.624] himax | MKL62BA command received: 'getop -1'
[05:24.783] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 18 0 0 5 47 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 12 0 2 50 65 15 0 0 286 326 1 110 1 
[05:24.892] app   | Written selftest to the device WILD-CNKW (18:32:49-178)
[05:24.924] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:24.924] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:25.225] nrf   | BLE in: Received   8 bytes 'selftest'
[05:25.292] app   | [SelfTest] bits=0x0000
[05:25.311] app   | Written AI getop -1 to the device WILD-CNKW (18:32:49-591)
[05:25.525] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:25.525] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:25.525] himax | MKL62BA command received: 'getop -1'
[05:25.575] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 18 0 0 5 47 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 12 0 2 50 65 15 0 0 286 326 1 110 1 
[05:25.708] app   | Written AI getop -1 to the device WILD-CNKW (18:32:49-987)
[05:25.827] himax | MKL62BA command received: 'getop -1'
[05:25.959] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 18 0 0 5 47 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 12 0 2 50 65 15 0 0 286 326 1 110 1 
[05:26.125] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:32:50-412)
[05:26.140] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:26.140] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:26.355] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[05:26.442] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[05:26.442] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:26.442] himax | MKL62BA command received: 'setop 8 3000'
[05:26.554] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[05:27.358] himax | Inactive for 1000ms
[05:27.358] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[05:27.358] himax | Image task ready to sleep.
[05:27.358] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[05:27.358] himax | >>> Entering DPD at 2024:01:01 00:01:09
[05:27.525] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[05:33.367] app   | [BleSession] Device already asleep — proceeding immediately.
[05:33.367] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[05:33.367] app   | [useCapturePreview] Phase 1: Setup — checking device state
[05:33.367] app   | [useCapturePreview] Phase 1 complete — waiting for device to sleep
[05:33.367] app   | [BleSession] Device already asleep — proceeding immediately.
[05:33.367] app   | [useCapturePreview] Phase 2: Capture — sending AI capture 1 500
[05:33.478] app   | Written AI capture 1 500 to the device WILD-CNKW (18:32:57-762)
[05:33.757] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[05:33.757] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[05:34.057] himax | Inactivity period set at 3000ms
[05:34.340] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[05:34.344] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[05:34.357] himax | MKL62BA command received: 'selftest'
[05:34.541] himax | MKL62BA command received: 'capture 1 500'
[05:34.541] himax | IMAGE Task state changed from 'Init' (1) to 'Capturing' (2)
[05:34.608] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: About to capture 1 image with an interval of '500' milliseconds
[05:34.658] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:34.744] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 AE regs:
[05:34.746] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[05:34.746] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 0
[05:34.748] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 120
[05:34.749] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 75
[05:34.751] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AEConverged?: Y
[05:34.842] himax | SW JPEG 25723 bytes in 187ms
[05:34.842] himax | IMAGE Task state changed from 'Capturing' (2) to 'NN Processing' (3)
[05:34.895] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 motion in 2 blocks:
[05:34.895] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 
[05:35.108] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 59200C60.JPG (File write 50ms avg.)
[05:35.142] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 59200C60.JPG (File write 50ms avg.)'
[05:35.142] himax | IMAGE Task state changed from 'NN Processing' (3) to 'Init' (1)
[05:35.308] app   | [useCapturePreview] Phase 2 complete — captured: 59200C60.JPG
[05:35.308] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[05:35.308] app   | [useCapturePreview] Phase 3: Transfer — requesting txfile 59200C60.JPG
[05:35.364] app   | Written AI txfile 59200C60.JPG to the device WILD-CNKW (18:32:59-643)
[05:35.625] himax | MKL62BA command received: 'txfile 59200C60.JPG'
[05:35.625] himax | 26233 bytes in 59200C60.JPG
[05:35.625] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '26233 bytes in 59200C60.JPG'
[05:35.708] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 26233 bytes in 59200C60.JPG
[05:35.708] app   | [useBleListeners] Detected image transfer start: 59200C60.JPG (26233 bytes)
[05:35.708] app   | ImageReassembler: Initializing transfer for 26233 bytes
[05:36.174] nrf   | BLE in: Received  22 bytes 'AI txfile 59200C60.JPG'
[05:36.174] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:36.174] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[05:36.475] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[05:46.241] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 50): 
[05:46.541] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 51): 
[05:46.841] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 52): 
[05:59.140] himax | Finished sending 26233 bytes (109 packets)
[05:59.140] himax | Sending 48 bytes: Header 4, payload 42, checksum 2 'Finished sending 26233 bytes (109 packets)'
[05:59.490] app   | ImageReassembler: Transfer complete! Received 26233/26233 (0 gaps)
[05:59.550] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417203778.jpg [SUCCESS] (26233/26233 bytes)
[05:59.550] app   | '[useCapturePreview] Image download complete, URI:', 'file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417203778.jpg'
[05:59.674] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Finished sending 26233 bytes (109 packets)
[06:01.641] app   | Written AI setop 8 1000 to the device WILD-CNKW (18:33:25-926)
[06:01.890] himax | MKL62BA command received: 'setop 8 1000'
[06:02.025] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 1000
[06:02.090] nrf   | BLE in: Received  15 bytes 'AI setop 8 1000'
[06:02.090] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:02.291] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (release)
[06:04.640] himax | MKL62BA command received: 'slots'
[06:04.724] app   | Written AI slots to the device WILD-CNKW (18:33:29-010)
[06:04.757] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[06:04.840] nrf   | BLE in: Received   8 bytes 'AI slots'
[06:04.840] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:05.009] app   | Written AI getop -1 to the device WILD-CNKW (18:33:29-288)
[06:05.241] himax | MKL62BA command received: 'getop -1'
[06:05.358] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 19 0 0 5 48 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 13 0 2 50 65 15 0 0 286 326 1 110 1 
[06:05.441] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:05.441] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:05.591] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[06:05.608] app   | Written AI getop -1 to the device WILD-CNKW (18:33:29-899)
[06:05.841] himax | MKL62BA command received: 'getop -1'
[06:05.932] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 19 0 0 5 48 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 13 0 2 50 65 15 0 0 286 326 1 110 1 
[06:06.057] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:06.057] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:06.141] app   | Written selftest to the device WILD-CNKW (18:33:30-420)
[06:06.358] nrf   | BLE in: Received   8 bytes 'selftest'
[06:07.091] app   | [SelfTest] bits=0x0000
[06:07.108] app   | Written AI getop -1 to the device WILD-CNKW (18:33:31-391)
[06:07.374] himax | MKL62BA command received: 'getop -1'
[06:07.494] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 19 0 0 5 48 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 13 0 2 50 65 15 0 0 286 326 1 110 1 
[06:07.574] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:07.574] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:07.691] app   | Written AI getop -1 to the device WILD-CNKW (18:33:31-970)
[06:07.986] himax | MKL62BA command received: 'getop -1'
[06:08.091] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 19 0 0 5 48 1 500 0 1000 80 1 0 100 0 0 0 18 1 0 13 0 2 50 65 15 0 0 286 326 1 110 1 
[06:08.175] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:08.175] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:08.388] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:33:32-669)
[06:08.590] himax | MKL62BA command received: 'setop 8 3000'
[06:08.659] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[06:08.807] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[06:08.807] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:08.941] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[06:11.625] himax | Inactive for 3000ms
[06:11.625] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:11.625] himax | Image task ready to sleep.
[06:11.774] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[06:11.791] app   | [BleSession] SLEEP signal detected — proceeding.
[06:11.925] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[06:11.925] himax | >>> Entering DPD at 2024:01:01 00:01:48
[06:11.925] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[06:11.925] app   | [useCapturePreview] Phase 1: Setup — checking device state
[06:11.925] app   | [useCapturePreview] Phase 1 complete — waiting for device to sleep
[06:11.925] app   | [BleSession] Device already asleep — proceeding immediately.
[06:11.925] app   | [useCapturePreview] Phase 2: Capture — sending AI capture 1 500
[06:12.041] app   | Written AI capture 1 500 to the device WILD-CNKW (18:33:36-328)
[06:12.158] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[06:12.158] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[06:12.540] himax | Inactivity period set at 3000ms
[06:12.741] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[06:12.758] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[06:12.824] himax | MKL62BA command received: 'selftest'
[06:12.824] himax | MKL62BA command received: 'capture 1 500'
[06:13.074] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:13.091] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: About to capture 1 image with an interval of '500' milliseconds
[06:13.140] himax | IMAGE Task state changed from 'Init' (1) to 'Capturing' (2)
[06:13.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 AE regs:
[06:13.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[06:13.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 0
[06:13.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 120
[06:13.274] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 74
[06:13.291] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AEConverged?: Y
[06:13.441] himax | SW JPEG 25453 bytes in 187ms
[06:13.441] himax | IMAGE Task state changed from 'Capturing' (2) to 'NN Processing' (3)
[06:13.441] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 59200EE0.JPG (File write 50ms avg.)'
[06:13.441] himax | IMAGE Task state changed from 'NN Processing' (3) to 'Init' (1)
[06:13.490] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 motion in 0 blocks:
[06:13.491] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
[06:13.658] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 59200EE0.JPG (File write 50ms avg.)
[06:13.891] app   | [useCapturePreview] Phase 2 complete — captured: 59200EE0.JPG
[06:13.891] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[06:13.891] app   | [useCapturePreview] Phase 3: Transfer — requesting txfile 59200EE0.JPG
[06:13.941] app   | Written AI txfile 59200EE0.JPG to the device WILD-CNKW (18:33:38-225)
[06:14.042] himax | MKL62BA command received: 'txfile 59200EE0.JPG'
[06:14.042] himax | 25963 bytes in 59200EE0.JPG
[06:14.042] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '25963 bytes in 59200EE0.JPG'
[06:14.108] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 25963 bytes in 59200EE0.JPG
[06:14.108] app   | [useBleListeners] Detected image transfer start: 59200EE0.JPG (25963 bytes)
[06:14.108] app   | ImageReassembler: Initializing transfer for 25963 bytes
[06:14.590] nrf   | BLE in: Received  22 bytes 'AI txfile 59200EE0.JPG'
[06:14.590] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:14.590] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[06:14.891] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[06:24.391] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 50): 
[06:24.692] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 51): 
[06:24.692] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 52): 
[06:36.656] himax | Finished sending 25963 bytes (108 packets)
[06:36.656] himax | Sending 48 bytes: Header 4, payload 42, checksum 2 'Finished sending 25963 bytes (108 packets)'
[06:37.128] app   | ImageReassembler: Transfer complete! Received 25963/25963 (0 gaps)
[06:37.202] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417241421.jpg [SUCCESS] (25963/25963 bytes)
[06:37.202] app   | '[useCapturePreview] Image download complete, URI:', 'file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788417241421.jpg'
[06:37.320] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Finished sending 25963 bytes (108 packets)
[06:40.006] himax | Inactive for 3000ms
[06:40.006] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:40.006] himax | Image task ready to sleep.
[06:40.006] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[06:40.006] himax | >>> Entering DPD at 2024:01:01 00:02:17
[06:40.050] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[06:40.374] app   | Written AI slots to the device WILD-CNKW (18:34:04-665)
[06:40.541] nrf   | BLE in: Received   8 bytes 'AI slots'
[06:40.541] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[06:40.907] himax | Inactivity period set at 3000ms
[06:41.223] himax | MKL62BA command received: 'selftest'
[06:41.224] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[06:41.450] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:41.524] himax | MKL62BA command received: 'slots'
[06:41.607] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[06:41.813] app   | [useCameraSwitch] switching from RP3 to HM0360
[06:41.850] app   | Written AI switchslot to the device WILD-CNKW (18:34:06-131)
[06:42.057] nrf   | BLE in: Received  13 bytes 'AI switchslot'
[06:42.057] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:42.139] himax | MKL62BA command received: 'switchslot'
[06:42.139] himax | Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.
[06:42.139] himax | Sending 64 bytes: Header 4, payload 58, checksum 2 'Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.'
[06:42.200] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.
[06:45.174] himax | Inactive for 3000ms
[06:45.174] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:45.174] himax | Image task ready to sleep.
[06:45.174] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[06:45.320] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[06:45.325] app   | [BleSession] SLEEP signal detected — proceeding.
[06:45.489] himax | >>> Reset by watchdog
[06:47.623] himax | Inactivity period set at 1000ms
[06:49.027] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[06:49.027] app   | [BleSession] WAKE signal detected — proceeding.
[06:49.125] himax | MKL62BA command received: 'selftest'
[06:49.434] app   | Written AI slots to the device WILD-CNKW (18:34:13-718)
[06:49.440] himax | MKL62BA command received: 'slots'
[06:49.657] nrf   | BLE in: Received   8 bytes 'AI slots'
[06:49.657] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:49.815] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[06:50.047] app   | [useCameraSwitch] now running HM0360
[06:50.657] himax | Inactive for 1000ms
[06:50.657] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:50.657] himax | Image task ready to sleep.
[06:50.657] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[06:50.657] himax | >>> Entering DPD at 2024:01:01 00:00:04
[06:50.790] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[06:52.795] app   | Written AI getop -1 to the device WILD-CNKW (18:34:17-076)
[06:53.008] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:53.008] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[06:53.091] himax | Inactivity period set at 3000ms
[06:53.308] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[06:53.406] himax | MKL62BA command received: 'selftest'
[06:53.406] himax | MKL62BA command received: 'getop -1'
[06:53.624] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:53.724] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 20 0 0 6 51 1 500 0 3000 80 1 0 100 0 0 0 18 1 0 14 0 2 50 65 15 0 0 286 326 1 110 1 
[06:54.041] app   | Written AI setop 13 1 to the device WILD-CNKW (18:34:18-326)
[06:54.240] nrf   | BLE in: Received  13 bytes 'AI setop 13 1'
[06:54.240] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:54.291] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 13 = 1
[06:54.324] himax | MKL62BA command received: 'setop 13 1'
[06:54.524] app   | Written AI setop 25 1 to the device WILD-CNKW (18:34:18-817)
[06:54.841] nrf   | BLE in: Received  13 bytes 'AI setop 25 1'
[06:54.841] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:54.872] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 25 = 1
[06:54.940] himax | MKL62BA command received: 'setop 25 1'
[06:57.991] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[06:57.991] app   | [BleSession] SLEEP signal detected — proceeding.
[06:58.007] himax | Inactive for 3000ms
[06:58.007] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:58.007] himax | Image task ready to sleep.
[06:58.007] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[06:58.007] himax | >>> Entering DPD at 2024:01:01 00:00:09
[06:58.207] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[06:58.207] app   | [useCapturePreview] Phase 1: Setup — checking device state
[06:58.207] app   | [useCapturePreview] Phase 1 complete — waiting for device to sleep
[06:58.207] app   | [BleSession] Device already asleep — proceeding immediately.
[06:58.207] app   | [useCapturePreview] Phase 2: Capture — sending AI capture 1 500
[06:58.207] app   | Written AI capture 1 500 to the device WILD-CNKW (18:34:22-491)
[06:58.506] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[06:58.506] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[06:58.907] himax | Inactivity period set at 3000ms
[06:58.907] himax | MKL62BA command received: 'selftest'
[06:58.907] himax | MKL62BA command received: 'capture 1 500'
[06:58.969] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[06:58.974] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[06:59.106] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[06:59.210] himax | IMAGE Task state changed from 'Init' (1) to 'Capturing' (2)
[06:59.378] himax | IMAGE Task state changed from 'Capturing' (2) to 'NN Processing' (3)
[06:59.378] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 592008A0.JPG (File write 47ms avg.)'
[06:59.441] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: About to capture 1 image with an interval of '500' milliseconds
[06:59.690] himax | IMAGE Task state changed from 'NN Processing' (3) to 'Init' (1)
[06:59.721] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 2, conv=Y -> BRIGHT (change)
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 AE regs:
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 2
[06:59.990] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 127
