# Motion detection test timing, WILD-SIFK, dev build with Metro, re-measure of ww-mobile-app #273 after #326
# Started 2026-09-23 09:53:19. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (given)
# nrf   = COM5 @ 115200 (given)
#
[01:58.249] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[02:01.001] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:01.001] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[02:01.001] nrf   | Sending 'getop -1' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:01.001] nrf   | <info> app: I2C RX payload 107/250 bytes. Response type is 4. CRC OK (0xA97C)
[02:01.001] nrf   | <info> app: AI processor replies: 'OpParams 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:01.001] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[02:01.001] nrf   | BLE out: Sent 108 bytes: 'OpParams 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:01.099] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: OpParams 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 
[02:01.198] app   | [MotionDetectionSection] Flash controls seeded from op21=2 op22=50
[02:01.931] himax | Inactive for 1000ms
[02:01.931] himax | Saved state to SD card. Image sequence number = 184
[02:01.931] himax | Image task ready to sleep.
[02:01.931] himax | Sending 110 bytes: Header 4, payload 104, checksum 2 'Sleep 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:01.931] himax | IF task ready to sleep.
[02:01.931] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[02:01.931] himax |    Inhibiting MD
[02:01.931] himax |    Changing mode from 0 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[02:01.931] himax |  No LED flashes.
[02:01.931] himax | >>> Entering DPD at 2024:01:01 00:00:05
[02:02.082] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Sleep
[02:02.245] nrf   | <info> app: I2C RX payload 104/250 bytes. Response type is 4. CRC OK (0x2888)
[02:02.245] nrf   | <info> app: AI processor sends stats: '184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:02.245] nrf   | <info> app: AI state changed from IDLE to SLEEP
[02:02.245] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[02:08.782] app   | [MotionDetectionSection] Starting test: sensitivity=1, interval=1000ms, photos=20, flash=2, brightness=50
[02:08.798] app   | [MotionDetectionStream] Starting MD test: sensitivity=1, interval=1000ms
[02:08.798] app   | TX Hex: 4149206765746f70202d31
[02:08.882] app   | Written AI getop -1 to the device WILD-SIFK (09:55:29-712)
[02:08.933] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[02:08.933] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[02:08.933] nrf   | <info> app: AI processor is in DPD. Waking it. (getop -1)
[02:09.239] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:09.239] himax | **** WW500 MD. (WW500_C02) Built: 05:31:27 Sep 15 2026 ****
[02:09.239] himax | Git branch: 'dev' bcb45deb
[02:09.239] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:09.239] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[02:09.239] himax | Camera: HM0360
[02:09.239] himax | PCA9574 present at 0x20
[02:09.239] himax | Initialised LED Flash
[02:09.239] himax | HM0360 present at 0x24
[02:09.239] himax | Main camera present at 0x24
[02:09.239] himax | ### Warm Boot ###
[02:09.239] himax | Woke at 2024:01:01 00:00:05 
[02:09.239] himax | BLE wake
[02:09.239] himax | Initialising FreeRTOS tasks
[02:09.239] himax | Created task 'CLI' Priority 4
[02:09.239] himax | Created task 'IFTask' Priority 3
[02:09.239] himax | Created task 'FAT' Priority 2
[02:09.239] himax | Created task 'IMAGE' Priority 1
[02:09.239] himax | FreeRTOS scheduler started.
[02:09.239] himax | Starting CLI Task
[02:09.239] himax | Enter 'help' to view a list of available commands.
[02:09.239] himax | cmd> Starting IFTask
[02:09.239] himax | I2C slave instance 0 configured at address 0x62
[02:09.239] himax | I2C buffers have 256 bytes, payload is 244
[02:09.239] himax | Starting FatFS Task
[02:09.239] himax | Mounting FatFS on SD card OK
[02:09.239] himax | Directory '/MANIFEST' exists
[02:09.239] himax | SD card initialised. CWD is '0:/'
[02:09.239] himax | Loading configuration: CWD is '0:/MANIFEST'
[02:09.239] himax | 'CONFIG.TXT' found. (Next image #184), camera enabled. Flash brightness 50
[02:09.239] himax | Retaining existing images directory (9 <= 100) '/MEDIA/859b722a/IMAGES.000'
[02:09.239] himax | Directory '/MEDIA/859b722a/IMAGES.000' exists
[02:09.239] himax | FatFs setup took 203ms
[02:09.239] himax | Inactivity period set at 1000ms
[02:09.239] himax | Starting Image Task
[02:09.239] himax | Image 640 x 480. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[02:09.239] himax | Initialising HM0360 at 0x24 (p.u. delay 1ms)
[02:09.239] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[02:09.239] himax |    Inhibiting MD
[02:09.239] himax |    Changing mode from 2 to 0 with nFrames=0, sleepTime=0 sleepCount = 0xffff
[02:09.239] himax | HM0360 MD sensitivity 1
[02:09.239] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 2
[02:09.239] himax | Initialising NN with 2412/ETHOS-U 2411 library. Arena size 524288
[02:09.239] himax | Ethos-U55 device initialised
[02:09.239] himax | Looking for model '1V1.TFL' in flash or SD card
[02:09.239] himax | Flash ID 0xEF initialised
[02:09.239] himax | Model file name in flash is '1V1.TFL'
[02:09.239] himax | Flash already contains model '1V1.TFL'; loading from flash.
[02:09.239] himax | There are 2 classes (2)
[02:09.239] himax | Initialised neural network.
[02:09.239] himax | Image sensor and data path initialised for camera HM0360
[02:09.239] himax |   Camera system enabled.
[02:09.239] himax |   Neural network enabled.
[02:09.239] himax |   Flash LED(s) in use: 2
[02:09.239] himax |   Flash brightness: 50%
[02:09.239] himax |   Flash is currently armed.
[02:09.239] himax |   MD disabled.
[02:09.239] himax |   Timelapse disabled.
[02:09.239] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:05Z'
[02:09.288] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Wake
[02:09.288] app   | [OpCache] dropped on wake for F5:3F:88:C6:81:06
[02:09.489] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Error bits = 0x0000
[02:09.549] himax | Received I2C message.
[02:09.549] himax | MKL62BA command received: 'selftest'
[02:09.549] himax | selfTest 0000
[02:09.549] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:09.549] himax | Received I2C message.
[02:09.549] himax | MKL62BA command received: 'getop -1'
[02:09.549] himax | OpParams 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 
[02:09.549] himax | Sending 113 bytes: Header 4, payload 107, checksum 2 'OpParams 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:09.549] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0x26C6)
[02:09.549] nrf   | <info> app: BLE and AI time differ by 558s - too much!
[02:09.549] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[02:09.549] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:09.549] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[02:09.549] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[02:09.549] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[02:09.549] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
[02:09.549] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[02:09.549] nrf   | <info> app: Can't send UTC
[02:09.549] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[02:09.549] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:09.549] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[02:09.549] nrf   | Sending 'getop -1' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:09.549] nrf   | <info> app: I2C RX payload 107/250 bytes. Response type is 4. CRC OK (0x4781)
[02:09.549] nrf   | <info> app: AI processor replies: 'OpParams 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:09.549] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[02:09.549] nrf   | BLE out: Sent 108 bytes: 'OpParams 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:09.689] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: OpParams 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 
[02:09.813] app   | [MotionDetectionStream] Current OPs: 184 61 33 17 337 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0
[02:09.813] app   | [MotionDetectionStream] Setting test mode bits via session
[02:09.814] app   | TX Hex: 4149207365746f702031382038
[02:09.841] app   | Written AI setop 18 8 to the device WILD-SIFK (09:55:30-672)
[02:10.065] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Set OpParam 18 = 8
[02:10.163] nrf   | BLE in: Received  13 bytes 'AI setop 18 8'
[02:10.163] nrf   | Sending 'setop 18 8' to AI processor (4 ctrl bytes, 10 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:10.163] nrf   | <info> app: I2C RX payload 18/250 bytes. Response type is 4. CRC OK (0x17F8)
[02:10.163] nrf   | <info> app: AI processor replies: 'Set OpParam 18 = 8'
[02:10.163] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[02:10.163] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 18 = 8'
[02:10.163] himax | Received I2C message.
[02:10.163] himax | MKL62BA command received: 'setop 18 8'
[02:10.163] himax | Set OpParam 18 = 8
[02:10.163] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 18 = 8'
[02:10.163] himax | Config saved (op params persisted).
[02:10.216] app   | [FlashHold] flash on F5:3F:88:C6:81:06 already in mode 2, nothing to put back
[02:10.216] app   | [MotionDetectionStream] Setting INTERVAL_BEFORE_DPD=3000 to prevent sleep during test
[02:10.217] app   | TX Hex: 4149207365746f7020382033303030
[02:10.241] app   | Written AI setop 8 3000 to the device WILD-SIFK (09:55:31-071)
[02:10.464] himax | Received I2C message.
[02:10.464] himax | MKL62BA command received: 'setop 8 3000'
[02:10.464] himax | Set OpParam 8 = 3000
[02:10.464] himax | Sending 26 bytes: Header 4, payload 20, checksum 2 'Set OpParam 8 = 3000'
[02:10.464] himax | Config saved (op params persisted).
[02:10.464] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[02:10.464] nrf   | Sending 'setop 8 3000' to AI processor (4 ctrl bytes, 12 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:10.464] nrf   | <info> app: I2C RX payload 20/250 bytes. Response type is 4. CRC OK (0x1E26)
[02:10.464] nrf   | <info> app: AI processor replies: 'Set OpParam 8 = 3000'
[02:10.464] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[02:10.464] nrf   | BLE out: Sent  21 bytes: 'Set OpParam 8 = 3000'
[02:10.466] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Set OpParam 8 = 3000
[02:10.566] app   | [MotionDetectionStream] Setting MD sensitivity to 1
[02:10.566] app   | TX Hex: 4149206d642031
[02:10.587] app   | Written AI md 1 to the device WILD-SIFK (09:55:31-418)
[02:10.765] himax | Received I2C message.
[02:10.765] himax | MKL62BA command received: 'md 1'
[02:10.765] himax | HM0360 MD sensitivity 1
[02:10.765] himax | MD sensitivity set to 1
[02:10.765] himax | Sending 29 bytes: Header 4, payload 23, checksum 2 'MD sensitivity set to 1'
[02:10.766] nrf   | BLE in: Received   7 bytes 'AI md 1'
[02:10.766] nrf   | Sending 'md 1' to AI processor (4 ctrl bytes, 4 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:10.766] nrf   | <info> app: I2C RX payload 23/250 bytes. Response type is 4. CRC OK (0x2216)
[02:10.766] nrf   | <info> app: UNHANDLED event Wake (MD) in PROCESSING
[02:10.766] nrf   | <info> app: AI state changed from PROCESSING to SLEEP
[02:11.998] himax | Inactive for 1000ms
[02:11.998] himax | Saved state to SD card. Image sequence number = 184
[02:11.998] himax | Image task ready to sleep.
[02:11.998] himax | Sending 110 bytes: Header 4, payload 104, checksum 2 'Sleep 184 61 33 17 337 3 500 0 3000 50 1 0 100 2 1 1 18 1 8 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:11.998] himax | IF task ready to sleep.
[02:11.998] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[02:11.998] himax |    Inhibiting MD
[02:11.998] himax |    Changing mode from 0 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[02:11.998] himax |  No LED flashes.
[02:11.998] himax | >>> Entering DPD at 2024:01:01 00:00:08
[02:11.998] nrf   | <info> app: I2C RX payload 104/250 bytes. Response type is 4. CRC OK (0xC979)
[02:15.582] app   | [MotionDetectionStream] md command failed (non-critical)
[02:15.597] app   | [MotionDetectionStream] Sending capture command (attempt 1/4)
[02:15.597] app   | TX Hex: 414920636170747572652032302031303030
[02:15.614] app   | Written AI capture 20 1000 to the device WILD-SIFK (09:55:36-450)
[02:15.963] nrf   | BLE in: Received  18 bytes 'AI capture 20 1000'
[02:15.963] nrf   | <info> app: AI processor is in DPD. Waking it. (capture 20 1000)
[02:15.963] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[02:15.963] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:15.963] himax | **** WW500 MD. (WW500_C02) Built: 05:31:27 Sep 15 2026 ****
[02:15.963] himax | Git branch: 'dev' bcb45deb
[02:15.963] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:15.963] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[02:15.963] himax | Camera: HM0360
[02:15.963] himax | PCA9574 present at 0x20
[02:15.963] himax | Initialised LED Flash
[02:15.963] himax | HM0360 present at 0x24
[02:15.963] himax | Main camera present at 0x24
[02:15.963] himax | ### Warm Boot ###
[02:15.963] himax | Woke at 2024:01:01 00:00:08 
[02:15.963] himax | BLE wake
[02:15.963] himax | Initialising FreeRTOS tasks
[02:15.963] himax | Created task 'CLI' Priority 4
[02:15.963] himax | Created task 'IFTask' Priority 3
[02:15.963] himax | Created task 'FAT' Priority 2
[02:15.963] himax | Created task 'IMAGE' Priority 1
[02:15.963] himax | FreeRTOS scheduler started.
[02:15.963] himax | Starting CLI Task
[02:15.963] himax | Enter 'help' to view a list of available commands.
[02:15.963] himax | cmd> Starting IFTask
[02:15.963] himax | I2C slave instance 0 configured at address 0x62
[02:15.963] himax | I2C buffers have 256 bytes, payload is 244
[02:15.963] himax | Starting FatFS Task
[02:16.129] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Wake
[02:16.131] app   | [OpCache] dropped on wake for F5:3F:88:C6:81:06
[02:16.216] himax | Mounting FatFS on SD card OK
[02:16.216] himax | Directory '/MANIFEST' exists
[02:16.216] himax | SD card initialised. CWD is '0:/'
[02:16.216] himax | Loading configuration: CWD is '0:/MANIFEST'
[02:16.216] himax | 'CONFIG.TXT' found. (Next image #184), camera enabled. Flash brightness 50
[02:16.216] himax | Retaining existing images directory (9 <= 100) '/MEDIA/859b722a/IMAGES.000'
[02:16.216] himax | Directory '/MEDIA/859b722a/IMAGES.000' exists
[02:16.216] himax | FatFs setup took 206ms
[02:16.216] himax | Inactivity period set at 3000ms
[02:16.216] himax | Starting Image Task
[02:16.216] himax | Image 640 x 480. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[02:16.216] himax | Initialising HM0360 at 0x24 (p.u. delay 1ms)
[02:16.216] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[02:16.216] himax |    Inhibiting MD
[02:16.216] himax |    Changing mode from 2 to 0 with nFrames=0, sleepTime=0 sleepCount = 0xffff
[02:16.216] himax | HM0360 MD sensitivity 1
[02:16.216] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 2
[02:16.216] himax | Initialising NN with 2412/ETHOS-U 2411 library. Arena size 524288
[02:16.216] himax | Ethos-U55 device initialised
[02:16.216] himax | Looking for model '1V1.TFL' in flash or SD card
[02:16.216] himax | Flash ID 0xEF initialised
[02:16.216] himax | Model file name in flash is '1V1.TFL'
[02:16.216] himax | Flash already contains model '1V1.TFL'; loading from flash.
[02:16.216] himax | There are 2 classes (2)
[02:16.216] himax | Initialised neural network.
[02:16.216] himax | Image sensor and data path initialised for camera HM0360
[02:16.216] himax |   Camera system enabled.
[02:16.216] himax |   Neural network enabled.
[02:16.216] himax |   Flash LED(s) in use: 2
[02:16.216] himax |   Flash brightness: 50%
[02:16.216] himax |   Flash is currently armed.
[02:16.216] himax |   MD disabled.
[02:16.216] himax |   Timelapse disabled.
[02:16.216] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:08Z'
[02:16.216] himax | Received I2C message.
[02:16.216] himax | MKL62BA command received: 'selftest'
[02:16.216] himax | selfTest 0000
[02:16.216] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:16.216] himax | Received I2C message.
[02:16.216] himax | MKL62BA command received: 'capture 20 1000'
[02:16.216] himax | About to capture 20 images with an interval of '1000' milliseconds
[02:16.216] himax | Sending 72 bytes: Header 4, payload 66, checksum 2 'About to capture 20 images with an interval of '1000' milliseconds'
[02:16.367] himax | Images to capture: 20
[02:16.367] himax | Interval: 1000ms
[02:16.367] himax |    Interval of 1000ms gives sleep count = 0x8030
[02:16.367] himax |    Changing mode from 0 to 2 with nFrames=1, sleepTime=1000 sleepCount = 0x8030
[02:16.367] himax | Class 'no person': 41.1% (raw: -46)
[02:16.367] himax | Class 'person': 59.0% (raw: 46)
[02:16.367] himax | Class 0 'no person' = logit -46
[02:16.367] himax | Class 1 'person' = logit 46
[02:16.367] himax | TARGET OBJECT DETECTED!
[02:16.367] himax | Sending 9 bytes: Header 4, payload 3, checksum 2 'NN+'
[02:16.367] himax | Score 46/128 (Threshold 18)
[02:16.367] himax | HM0360 AE regs:
[02:16.367] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[02:16.367] himax | HM0360 motion in 0 blocks:
[02:16.367] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 0 blocks:
[02:16.516] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Error bits = 0x0000
[02:16.567] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0x509A)
[02:16.567] nrf   | <info> app: BLE and AI time differ by 562s - too much!
[02:16.567] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[02:16.567] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:16.567] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[02:16.567] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[02:16.567] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[02:16.567] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
[02:16.567] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[02:16.567] nrf   | <info> app: Can't send UTC
[02:16.567] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[02:16.567] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:16.567] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[02:16.567] nrf   | Sending 'capture 20 1000' to AI processor (4 ctrl bytes, 15 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[02:16.567] nrf   | <info> app: I2C RX payload 66/250 bytes. Response type is 4. CRC OK (0xD10C)
[02:16.567] nrf   | <info> app: AI processor replies: 'About to capture 20 images with an interval of '1000' milliseconds'
[02:16.567] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[02:16.567] nrf   | BLE out: Sent  67 bytes: 'About to capture 20 images with an interval of '1000' milliseconds'
[02:16.567] nrf   | <info> app: I2C RX payload 3/250 bytes. Response type is 4. CRC OK (0xE69E)
[02:16.567] nrf   | BLE out: Sent   4 bytes: 'NN+'
[02:16.567] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0x5DE0)
